"species","plot","abundance"
"Draba verna aggr.","Plot_49",1
"Noccaea perfoliata","Plot_34",1
"Noccaea perfoliata","Plot_38",1
"Noccaea perfoliata","Plot_39",13
"Thymus serpyllum aggr.","Plot_25",13
"Thymus serpyllum aggr.","Plot_26",2
"Thymus serpyllum aggr.","Plot_29",2
"Thymus serpyllum aggr.","Plot_31",2
"Thymus serpyllum aggr.","Plot_32",3
"Thymus serpyllum aggr.","Plot_33",1
"Thymus serpyllum aggr.","Plot_38",3
"Thymus serpyllum aggr.","Plot_50",3
"Sanguisorba minor","Plot_33",1
"Sanguisorba minor","Plot_36",2
"Sanguisorba minor","Plot_37",3
"Sanguisorba minor","Plot_38",1
"Sanguisorba minor","Plot_41",2
"Sanguisorba minor","Plot_42",2
"Sanguisorba minor","Plot_48",3
"Sanguisorba minor","Plot_49",1
"Holosteum umbellatum","Plot_34",13
"Holosteum umbellatum","Plot_49",1
"Alyssum alyssoides","Plot_29",2
"Alyssum alyssoides","Plot_34",1
"Alyssum alyssoides","Plot_36",38
"Alyssum alyssoides","Plot_37",2
"Alyssum alyssoides","Plot_38",1
"Alyssum alyssoides","Plot_39",1
"Alyssum alyssoides","Plot_49",1
"Alyssum alyssoides","Plot_50",3
"Erodium cicutarium","Plot_6",1
"Melica transsilvanica","Plot_6",3
"Melica transsilvanica","Plot_27",2
"Melica transsilvanica","Plot_30",38
"Dianthus carthusianorum aggr.","Plot_38",3
"Dianthus carthusianorum aggr.","Plot_41",3
"Dianthus carthusianorum aggr.","Plot_43",2
"Koeleria macrantha aggr.","Plot_23",2
"Koeleria macrantha aggr.","Plot_43",3
"Allium lusitanicum aggr.","Plot_2",3
"Allium lusitanicum aggr.","Plot_3",13
"Allium lusitanicum aggr.","Plot_5",2
"Allium lusitanicum aggr.","Plot_7",3
"Allium lusitanicum aggr.","Plot_9",38
"Allium lusitanicum aggr.","Plot_11",2
"Allium lusitanicum aggr.","Plot_13",38
"Allium lusitanicum aggr.","Plot_15",3
"Allium lusitanicum aggr.","Plot_19",3
"Allium lusitanicum aggr.","Plot_22",2
"Allium lusitanicum aggr.","Plot_32",1
"Allium lusitanicum aggr.","Plot_33",1
"Allium lusitanicum aggr.","Plot_38",1
"Allium lusitanicum aggr.","Plot_41",2
"Alyssum montanum aggr.","Plot_25",3
"Alyssum montanum aggr.","Plot_26",3
"Alyssum montanum aggr.","Plot_31",3
"Festuca valesiaca aggr.","Plot_16",3
"Festuca valesiaca aggr.","Plot_23",2
"Festuca valesiaca aggr.","Plot_34",13
"Festuca valesiaca aggr.","Plot_38",13
"Festuca valesiaca aggr.","Plot_39",1
"Festuca valesiaca aggr.","Plot_42",3
"Festuca valesiaca aggr.","Plot_46",1
"Festuca valesiaca aggr.","Plot_48",3
"Festuca valesiaca aggr.","Plot_50",3
"Thymus pulegioides aggr.","Plot_16",3
"Thymus pulegioides aggr.","Plot_36",2
"Thymus pulegioides aggr.","Plot_39",13
"Thymus pulegioides aggr.","Plot_40",2
"Thymus pulegioides aggr.","Plot_41",13
"Thymus pulegioides aggr.","Plot_42",13
"Thymus pulegioides aggr.","Plot_43",3
"Thymus pulegioides aggr.","Plot_44",3
"Thymus pulegioides aggr.","Plot_45",1
"Thymus pulegioides aggr.","Plot_47",13
"Thymus pulegioides aggr.","Plot_48",2
"Thymus pulegioides aggr.","Plot_49",13
"Sedum acre","Plot_16",2
"Sedum acre","Plot_21",13
"Sedum acre","Plot_26",3
"Sedum acre","Plot_29",2
"Sedum acre","Plot_34",13
"Sedum acre","Plot_35",38
"Sedum acre","Plot_36",38
"Sedum acre","Plot_37",38
"Sedum acre","Plot_38",38
"Sedum acre","Plot_39",13
"Sedum acre","Plot_40",2
"Sedum acre","Plot_42",38
"Sedum acre","Plot_43",3
"Sedum acre","Plot_44",3
"Sedum acre","Plot_45",13
"Sedum acre","Plot_46",38
"Sedum acre","Plot_47",38
"Sedum acre","Plot_48",13
"Sedum acre","Plot_49",13
"Sedum acre","Plot_50",38
"Galium mollugo aggr.","Plot_2",2
"Galium mollugo aggr.","Plot_14",2
"Galium mollugo aggr.","Plot_16",2
"Galium mollugo aggr.","Plot_17",3
"Galium mollugo aggr.","Plot_41",2
"Allium flavum","Plot_32",1
"Allium flavum","Plot_33",1
"Melica ciliata","Plot_19",1
"Melica ciliata","Plot_40",2
"Sedum sexangulare","Plot_5",3
"Sedum sexangulare","Plot_15",2
"Sedum sexangulare","Plot_41",2
"Sedum album","Plot_1",38
"Sedum album","Plot_2",13
"Sedum album","Plot_3",13
"Sedum album","Plot_4",13
"Sedum album","Plot_5",3
"Sedum album","Plot_6",67
"Sedum album","Plot_7",38
"Sedum album","Plot_8",3
"Sedum album","Plot_9",38
"Sedum album","Plot_10",13
"Sedum album","Plot_11",88
"Sedum album","Plot_13",38
"Sedum album","Plot_14",38
"Sedum album","Plot_15",13
