"species","plot","abundance"
"Euphorbia cyparissias","Plot_35",38
"Euphorbia cyparissias","Plot_36",13
"Euphorbia cyparissias","Plot_42",2
"Euphorbia cyparissias","Plot_43",3
"Euphorbia cyparissias","Plot_44",2
"Euphorbia cyparissias","Plot_46",1
"Euphorbia cyparissias","Plot_49",1
"Euphorbia cyparissias","Plot_50",3
"Pimpinella saxifraga aggr.","Plot_21",2
"Pimpinella saxifraga aggr.","Plot_37",2
"Pimpinella saxifraga aggr.","Plot_47",1
"Leontodon incanus","Plot_2",2
"Leontodon incanus","Plot_19",1
"Ranunculus bulbosus","Plot_36",1
"Cytisus hirsutus aggr.","Plot_19",3
"Androsace maxima","Plot_34",1
"Veronica prostrata","Plot_49",1
"Viola rupestris","Plot_19",1
"Anthericum ramosum","Plot_2",2
"Anthericum ramosum","Plot_33",1
"Anthericum ramosum","Plot_50",2
"Fraxinus ornus","Plot_12",1
"Prunus spinosa","Plot_47",2
"Veronica spicata aggr.","Plot_41",3
"Silene viscaria","Plot_12",1
"Silene viscaria","Plot_40",2
"Galium pumilum aggr.","Plot_31",2
"Bupleurum falcatum","Plot_38",1
"Encalypta vulgaris","Plot_17",2
"Verbascum lychnitis","Plot_1",1
"Verbascum lychnitis","Plot_5",2
"Verbascum lychnitis","Plot_41",3
"Verbascum lychnitis","Plot_45",1
"Verbascum lychnitis","Plot_47",3
"Fissidens dubius","Plot_22",2
"Dermatocarpon miniatum","Plot_27",2
"Pilosella echioides","Plot_45",1
"Pilosella echioides","Plot_49",1
"Cichorium intybus","Plot_39",1
"Diplotaxis sp.","Plot_33",1
"Drabella muralis","Plot_26",2
"Jacobaea vulgaris","Plot_45",1
"Capsella bursa-pastoris","Plot_37",2
"Hieracium schmidtii","Plot_5",1
"Fumana procumbens","Plot_33",1
"Anthriscus cerefolium","Plot_12",1
"Dianthus sylvestris","Plot_19",3
"Carex humilis","Plot_49",1
"Knautia arvensis","Plot_42",2
"Crataegus monogyna aggr.","Plot_40",2
"Crataegus monogyna aggr.","Plot_49",1
"Rosa canina aggr.","Plot_15",2
"Linum tenuifolium","Plot_33",1
